id;topic;question_ru;question_kz;question_en;options_ru;options_kz;options_en
27;KZ Drugs;Препарат «Аллапинин» получают из какого растительного сырья?;«Аллапинин» препараты қандай өсімдік шикізатынан алынады?;"From which plant raw material is the drug ""Allapinin"" obtained?";"Дикорастущий аконит (Aconitum leucostomum); Морковь; Сахарная свекла; Корень солодки";"Жабайы өсетін ақпарша (Aconitum leucostomum); Сәбіз; Қант қызылшасы; Мия тамыры";"Wild aconite (Aconitum leucostomum); Carrot; Sugar beet; Licorice root"
28;Lipinski Rule;Каков предел молекулярной массы (MW) для «правила пяти»?;«Бес ережесі» үшін молекулалық массаның (MW) шегі қандай?;"What is the molecular weight (MW) limit for the ""rule of five""?";"Меньше 500 Да; Больше 1000 Да; Меньше 100 Да; Ровно 700 Да";"500 Да төмен; 1000 Да жоғары; 100 Да төмен; Тура 700 Да";"Less than 500 Da; Greater than 1000 Da; Less than 100 Da; Exactly 700 Da"
29;Lipinski Rule;Какое максимальное значение logP допускается согласно правилу Липинского?;Липинский ережесі бойынша logP максималды мәні қандай болуы керек?;What is the maximum logP value allowed according to Lipinski's rule?;"5; 500; 10; 3";"5; 500; 10; 3";"5; 500; 10; 3"
30;Lipinski Rule;Какой logP считается идеальным для хорошего проникновения в ЦНС?;ОЖЖ-ге жақсы енуі үшін қандай logP идеалды болып саналады?;What logP is considered ideal for good CNS penetration?;"Около 2.0; Более 10; Минус 5; Ровно 100";"2.0 шамасында; 10-нан жоғары; Минус 5; Тура 100";"Around 2.0; More than 10; Minus 5; Exactly 100"
31;Lipinski Rule;Почему правило Липинского важно для пероральных лекарств?;Липинский ережесі пероральді дәрілер үшін неліктен маңызды?;Why is Lipinski's rule important for oral drugs?;"Оно оценивает биодоступность; Оно определяет цену; Оно предсказывает цвет; Оно оценивает срок годности";"Ол биожетімділікті бағалайды; Ол бағаны анықтайды; Ол түсті болжайды; Ол сақтау мерзімін бағалайды";"It estimates bioavailability; It determines price; It predicts color; It estimates shelf life"
32;Lipinski Rule;Сколько акцепторов водородной связи (HBA) допускается по правилу Липинского?;Липинский ережесі бойынша сутектік байланыс акцепторларының (HBA) саны қанша?;How many hydrogen bond acceptors (HBA) are allowed by Lipinski's rule?;"Не более 10; Не более 5; Ровно 20; Более 100";"10-нан аспауы керек; 5-тен аспауы керек; Тура 20; 100-ден жоғары";"Not more than 10; Not more than 5; Exactly 20; More than 100"
33;Lipinski Rule;Сколько доноров водородной связи (HBD) допускается по Липинскому?;Липинский бойынша сутектік байланыс донорларының (HBD) саны қанша болуы керек?;How many hydrogen bond donors (HBD) are allowed by Lipinski?;"Не более 5; Не более 10; Ровно 0; Более 15";"5-тен аспауы керек; 10-нан аспауы керек; Тура 0; 15-тен жоғары";"Not more than 5; Not more than 10; Exactly 0; More than 15"
34;Lipinski Rule;Что произойдет с поглощением, если у молекулы более 2 нарушений правил Липинского?;Егер молекулада Липинский ережелерінің 2-ден көп бұзылуы болса, сіңірілумен не болады?;What happens to absorption if a molecule has more than 2 violations of Lipinski's rules?;"Поглощение скорее всего будет плохим; Поглощение ускорится; Молекула станет взрывоопасной; Поглощение не изменится";"Сіңірілу нашар болуы мүмкін; Сіңірілу жылдамдайды; Молекула жарылғыш болады; Сіңірілу өзгермейді";"Absorption is likely to be poor; Absorption will speed up; The molecule will become explosive; Absorption will not change"
35;Lipinski Rule;Что такое Вебер-правила (Veber's Rules) в дополнение к Липинскому?;Липинскийге қосымша Вебер ережелері (Veber's Rules) дегеніміз не?;What are Veber's Rules in addition to Lipinski's?;"Ограничение числа вращающихся связей (<=10); Ограничение цены; Цвет молекулы; Число стадий";"Айналмалы байланыстар санын шектеу (<=10); Бағаны шектеу; Молекуланың түсі; Кезеңдер саны";"Limit on the number of rotatable bonds (<=10); Price limit; Molecule color; Number of stages"
36;Lipinski Rule;Является ли «правило пяти» Липинского строгим законом для всех лекарств?;Липинскийдің «бес ережесі» барлық дәрілер үшін қатаң заң ба?;"Is Lipinski's ""rule of five"" a strict law for all drugs?";"Нет, это рекомендация для пероральной биодоступности; Да, лекарства без него не регистрируют; Нет, оно только для инъекций; Да, оно работает для белков";"Жоқ, бұл пероральді биожетімділік үшін ұсыныс; Иә, онсыз дәрілер тіркелмейді; Жоқ, ол тек инъекциялар үшін; Иә, ол ақуыздар үшін жұмыс істейді";"No, it is a guideline for oral bioavailability; Yes, drugs are not registered without it; No, it is only for injections; Yes, it works for proteins"
37;Lipinski Rule;Почему молекулярная масса важна для пассивной диффузии через мембраны?;Мембраналар арқылы пассивті диффузия үшін молекулалық масса неліктен маңызды?;Why is molecular weight important for passive diffusion across membranes?;"Большие молекулы хуже проникают через липидный бислой; Большие молекулы слишком быстрые; Маленькие молекулы всегда токсичны; Вес не влияет на диффузию";"Үлкен молекулалар липидті биқабат арқылы нашар өтеді; Үлкен молекулалар тым жылдам; Кіші молекулалар әрқашан уытты; Салмақ диффузияға әсер етпейді";"Large molecules penetrate the lipid bilayer poorly; Large molecules are too fast; Small molecules are always toxic; Weight does not affect diffusion"
38;Lipinski Rule;Какое нарушение правила Липинского чаще всего встречается у антибиотиков?;Антибиотиктерде Липинский ережесінің қандай бұзылуы жиі кездеседі?;Which violation of Lipinski's rule is most common in antibiotics?;"Превышение молекулярной массы (>500); Слишком низкий logP; Недостаток атомов азота; Отсутствие водородных связей";"Молекулалық массаның асып кетуі (>500); Тым төмен logP; Азот атомдарының жетіспеушілігі; Сутектік байланыстардың болмауы";"Exceeding molecular weight (>500); Too low logP; Lack of nitrogen atoms; Absence of hydrogen bonds"
39;Lipinski Rule;Как LogP влияет на растворимость в воде?;LogP судағы ерігіштікке қалай әсер етеді?;How does LogP affect water solubility?;"Чем выше LogP, тем хуже растворимость в воде; Чем выше LogP, тем лучше растворимость; LogP не влияет на растворимость; LogP всегда равен 0";"LogP неғұрлым жоғары болса, судағы ерігіштік соғұрлым нашар; LogP неғұрлым жоғары болса, ерігіштік соғұрлым жақсы; LogP ерігіштікке әсер етпейді; LogP әрқашан 0-ге тең";"The higher the LogP, the lower the water solubility; The higher the LogP, the better the solubility; LogP does not affect solubility; LogP is always 0"
40;Lipinski Rule;Что означает правило «Rule of 3» в дизайне фрагментов?;Фрагменттер дизайнындағы «3 ережесі» нені білдіреді?;"What does the ""Rule of 3"" mean in fragment design?";"MW < 300, logP <= 3, HBD <= 3; 3 атома азота; 3 кольца бензола; 3 стадии синтеза";"MW < 300, logP <= 3, HBD <= 3; 3 азот атомы; 3 бензол сақинасы; 3 синтез кезеңі";"MW < 300, logP <= 3, HBD <= 3; 3 nitrogen atoms; 3 benzene rings; 3 synthesis steps"
41;PASS Online;Влияет ли наличие стереоизомерии (R/S) на прогноз в классической версии PASS?;Классикалық PASS нұсқасында стереоизомерияның (R/S) болуы болжамға әсер ете ме?;Does the presence of stereoisomerism (R/S) affect the prediction in the classical PASS version?;"Нет, он анализирует плоские MNA-дескрипторы; Да, всегда; Только для углеводов; Только для газов";"Жоқ, ол жазық MNA-дескрипторларын талдайды; Иә, әрқашан; Тек көмірсулар үшін; Тек газдар үшін";"No, it analyzes 2D MNA-descriptors; Yes, always; Only for carbohydrates; Only for gases"
42;PASS Online;Если Pa > 0,5, но < 0,7, что это означает для исследователя?;Егер Pa > 0,5, бірақ < 0,7 болса, бұл зерттеуші үшін нені білдіреді?;If Pa > 0.5 but < 0.7, what does this mean for the researcher?;"Активность скорее всего будет обнаружена, но она может быть не новой; Активность не будет обнаружена; Препарат токсичен; Структура ошибочна";"Белсенділік табылуы мүмкін, бірақ ол жаңа болмауы мүмкін; Белсенділік табылмайды; Препарат уытты; Құрылымы қате";"The activity is likely to be found, but it might not be novel; The activity will not be found; The drug is toxic; The structure is incorrect"
43;PASS Online;Какие данные необходимы PASS Online для анализа?;PASS Online талдау жасау үшін қандай деректер қажет?;What data does PASS Online need for analysis?;"Структурная формула (SMILES или MOL); Цена вещества; Цвет порошка; Название на латыни";"Құрылымдық формула (SMILES немесе MOL); Заттың бағасы; Ұнтақтың түсі; Латынша атауы";"Structural formula (SMILES or MOL); Substance price; Powder color; Latin name"
44;PASS Online;Какое количество видов активностей может предсказывать современный PASS?;Заманауи PASS белсенділіктің қанша түрін болжай алады?;How many types of activities can modern PASS predict?;"Более 4000; Только 2; Ровно 100; Не более 10";"4000-нан астам; Тек 2; Тура 100; 10-нан аспайды";"More than 4000; Only 2; Exactly 100; No more than 10"
45;PASS Online;Может ли PASS Online предсказать дозировку препарата?;PASS Online препаратың дозасын болжай ала ма?;Can PASS Online predict the dosage of a drug?;"Нет, только вероятность активности; Да, в мг/кг; Да, только для токсичности; Только для инъекций";"Жоқ, тек белсенділік ықтималдығын; Иә, мг/кг-мен; Иә, тек уыттылық үшін; Тек инъекциялар үшін";"No, only the probability of activity; Yes, in mg/kg; Yes, only for toxicity; Only for injections"
46;PASS Online;Может ли PASS предсказать активность для структуры, которой нет в его обучающей выборке?;PASS оның оқыту таңдамасында жоқ құрылымның белсенділігін болжай ала ма?;Can PASS predict activity for a structure that is not in its training set?;"Да, на основе анализа MNA-дескрипторов; Нет, он работает только как поиск; Да, но только цену; Только если это аспирин";"Иә, MNA-дескрипторларын талдау негізінде; Жоқ, ол тек іздеу ретінде жұмыс істейді; Иә, бірақ тек бағасын; Тек егер ол аспирин болса";"Yes, based on the analysis of MNA-descriptors; No, it only works as a search; Yes, but only the price; Only if it is aspirin"
47;PASS Online;Означает ли низкое значение Pa (например, 0,2), что вещество точно неактивно?;Төмен Pa мәні (мысалы, 0,2) заттың мүлдем белсенді емес екенін білдіре ме?;Does a low Pa value (e.g., 0.2) mean the substance is definitely inactive?;"Нет, это лишь низкая вероятность обнаружения в известных тестах; Да, это гарантия отсутствия эффекта; Это означает ошибку в SMILES; Это означает высокую токсичность";"Жоқ, бұл тек белгілі тесттерде табылу ықтималдығының төмендігі; Иә, бұл әсердің болмауының кепілі; Бұл SMILES қатесін білдіреді; Бұл жоғары уыттылықты білдіреді";"No, it only indicates a low probability of discovery in known assays; Yes, it guarantees no effect; It indicates a SMILES error; It indicates high toxicity"
48;PaSS Online;При каком условии Pa > Pi активность считается экспериментально перспективной?;Pa > Pi қандай жағдайда белсенділік эксперименттік тұрғыдан перспективалы болып саналады?;Under what condition is Pa > Pi considered experimentally promising?;"Pa > 0.7; Pa < 0.3; Pa = Pi; Pa < 0.1";"Pa > 0.7; Pa < 0.3; Pa = Pi; Pa < 0.1";"Pa > 0.7; Pa < 0.3; Pa = Pi; Pa < 0.1"
49;PASS Online;Что означает параметр Pa в прогнозе PASS Online?;PASS Online болжамындағы Pa параметрі нені білдіреді?;What does the Pa parameter mean in PASS Online prediction?;"Вероятность наличия активности; Вероятность отсутствия активности; Энергия связывания; Молекулярная масса";"Белсенділіктің болу ықтималдығы; Белсенділіктің болмау ықтималдығы; Байланыс энергиясы; Молекулалық масса";"Probability of presence of activity; Probability of absence of activity; Binding energy; Molecular weight"
50;PASS Online;Что означает параметр Pi?;Pi параметрі нені білдіреді?;What does the Pi parameter stand for?;"Вероятность отсутствия активности; Эффективность препарата; Ингибирование белка; Растворимость";"Белсенділіктің болмау ықтималдығы; Препараттың тиімділігі; Ақуыздың тежелуі; Ерігіштік";"Probability of absence of activity; Drug efficacy; Protein inhibition; Solubility"
51;PASS Online;О чем говорит значение Pa > 0,9?;Pa > 0,9 мәні нені білдіреді?;What does a Pa > 0.9 value indicate?;"Высокая вероятность подтверждения активности в эксперименте; Низкая вероятность активности; Ошибка в расчетах; Вещество является ядом";"Экспериментте белсенділіктің расталу ықтималдығы жоғары; Белсенділіктің төмен ықтималдығы; Есептеулердегі қате; Зат у болып табылады";"High probability of activity confirmation in experiment; Low probability of activity; Calculation error; The substance is a poison"
52;PASS Online;Какая связь между Pa и новизной структуры?;Pa мәні мен құрылымның жаңалығы арасында қандай байланыс бар?;What is the relationship between Pa and structural novelty?;"Чем меньше Pa, тем выше вероятность, что структура оригинальна; Чем выше Pa, тем выше новизна; Pa не зависит от новизны; Новизна всегда равна Pa";"Pa неғұрлым аз болса, құрылымның түпнұсқа болу ықтималдығы соғұрлым жоғары; Pa неғұрлым жоғары болса, жаңашылдық соғұрлым жоғары; Pa жаңашылдыққа тәуелді емес; Жаңашылдық әрқашан Pa-ға тең";"The lower the Pa, the higher the probability that the structure is original; The higher the Pa, the higher the novelty; Pa does not depend on novelty; Novelty is always equal to Pa"
53;PASS Online;Если Pa < Pi для определенного вида активности, стоит ли её проверять?;Егер белгілі бір белсенділік түрі үшін Pa < Pi болса, оны тексеруге тұрарлық па?;If Pa < Pi for a specific activity, is it worth testing?;"Нет, вероятность обнаружения крайне мала; Да, это признак высокой новизны; Да, это гарантирует успех; Только для витаминов";"Жоқ, табылу ықтималдығы өте төмен; Иә, бұл жоғары жаңашылдықтың белгісі; Иә, бұл сәттілікке кепілдік береді; Тек витаминдер үшін";"No, the probability of discovery is very low; Yes, it's a sign of high novelty; Yes, it guarantees success; Only for vitamins"
54;PASS Online;Может ли PASS Online предсказать побочные эффекты?;PASS Online жағымсыз әсерлерді болжай ала ма?;Can PASS Online predict side effects?;"Да, включая токсичность и мутагенность; Нет, только лечебные эффекты; Только для аспирина; Да, только цену";"Иә, уыттылық пен мутагенділікті қоса; Жоқ, тек емдік әсерлерді; Тек аспирин үшін; Иә, тек бағасын";"Yes, including toxicity and mutagenicity; No, only therapeutic effects; Only for aspirin; Yes, only the price"
55;Salsoline;Какое влияние оказывает (S)-конфигурация Салсолина на его биологическую активность?;Салсолиннің (S)-конфигурациясы оның биологиялық белсенділігіне қалай әсер етеді?;How does the (S)-configuration of Salsoline affect its biological activity?;"Определяет специфическое взаимодействие с рецепторами; Не влияет на активность; Делает молекулу невидимой; Изменяет только цвет";"Рецепторлармен ерекше өзара әрекеттесуді анықтайды; Белсенділікке әсер етпейді; Молекуланы көрінбейтін етеді; Тек түсін өзгертеді";"It determines specific interaction with receptors; It does not affect activity; It makes the molecule invisible; It only changes the color"
